Diretorio,Estacao,Ano,Mes,Arquivo.zip,Arquivo_extraido,Tamanho_Bytes,Status,Msg_Erro,Processado
plv,Alto_da_boa_vista,1998,9,dados_pluviometricos_1998.zip,alto_da_boa_vista_199809_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,9,dados_meteorologicos_1998.zip,alto_da_boa_vista_199809_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,10,dados_pluviometricos_1998.zip,alto_da_boa_vista_199810_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,10,dados_meteorologicos_1998.zip,alto_da_boa_vista_199810_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,11,dados_pluviometricos_1998.zip,alto_da_boa_vista_199811_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,11,dados_meteorologicos_1998.zip,alto_da_boa_vista_199811_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,12,dados_pluviometricos_1998.zip,alto_da_boa_vista_199812_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,12,dados_meteorologicos_1998.zip,alto_da_boa_vista_199812_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,1,dados_pluviometricos_1999.zip,alto_da_boa_vista_199901_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,1,dados_meteorologicos_1999.zip,alto_da_boa_vista_199901_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,2,dados_pluviometricos_1999.zip,alto_da_boa_vista_199902_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,2,dados_meteorologicos_1999.zip,alto_da_boa_vista_199902_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,3,dados_pluviometricos_1999.zip,alto_da_boa_vista_199903_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,3,dados_meteorologicos_1999.zip,alto_da_boa_vista_199903_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,4,dados_pluviometricos_1999.zip,alto_da_boa_vista_199904_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,4,dados_meteorologicos_1999.zip,alto_da_boa_vista_199904_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,5,dados_pluviometricos_1999.zip,alto_da_boa_vista_199905_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,5,dados_meteorologicos_1999.zip,alto_da_boa_vista_199905_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,6,dados_pluviometricos_1999.zip,alto_da_boa_vista_199906_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,6,dados_meteorologicos_1999.zip,alto_da_boa_vista_199906_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,7,dados_pluviometricos_1999.zip,alto_da_boa_vista_199907_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,7,dados_meteorologicos_1999.zip,alto_da_boa_vista_199907_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,8,dados_pluviometricos_1999.zip,alto_da_boa_vista_199908_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,8,dados_meteorologicos_1999.zip,alto_da_boa_vista_199908_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,9,dados_pluviometricos_1999.zip,alto_da_boa_vista_199909_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,9,dados_meteorologicos_1999.zip,alto_da_boa_vista_199909_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,10,dados_pluviometricos_1999.zip,alto_da_boa_vista_199910_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,10,dados_meteorologicos_1999.zip,alto_da_boa_vista_199910_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,11,dados_pluviometricos_1999.zip,alto_da_boa_vista_199911_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,11,dados_meteorologicos_1999.zip,alto_da_boa_vista_199911_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,12,dados_pluviometricos_1999.zip,alto_da_boa_vista_199912_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,12,dados_meteorologicos_1999.zip,alto_da_boa_vista_199912_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,1,dados_pluviometricos_2000.zip,alto_da_boa_vista_200001_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,1,dados_meteorologicos_2000.zip,alto_da_boa_vista_200001_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,2,dados_pluviometricos_2000.zip,alto_da_boa_vista_200002_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,2,dados_meteorologicos_2000.zip,alto_da_boa_vista_200002_Met.txt,299,SUCESSO,,
